Price,Bedrooms,Bathrooms,Size
259000,4,2,1336
199000,2,1,832
410000,5,3,2100
199000,3,1,940
270000,3,2,1344
695000,2,2,1437
2995000,5,4,3684
131900,1,2,300
995000,4,3,2717
250000,4,3,2097
239800,5,2,1575
425000,6,3,2628
525000,3,2,1750
459900,3,2,1346
229900,3,2,1041
199900,3,2,1526
599000,4,2,1728
197600,4,2,1378
355000,2,1,1145
339900,3,2,1325
299000,3,3,1850
166800,4,2,1765
379000,4,2,1631
1395000,4,4,2693
150000,3,2,1316
475000,3,2,1382
265000,4,3,2300
265000,3,2,1617
225000,2,2,1150
249900,2,2,1674
509000,3,2,1543
214900,2,2,1351
5499000,4,5,5060
349900,3,2,2000
125000,2,2,1536
549000,2,2,924
865000,3,3,1860
1600000,3,3,2640
1065000,4,4,3395
625000,3,2,1850
249999,3,2,1000
975000,4,3,2720
204900,2,1,992
355000,3,2,1737
134900,3,3,1435
199900,5,3,1671
349900,4,3,2800
99000,2,2,900
409000,4,3,2507
339000,2,2,1440
595000,3,3,2238
849500,3,3,2725
399000,2,3,1772
399000,4,2,1947
525000,3,2,1720
319900,3,3,1605
495000,3,2,1877
372000,3,2,1104
589000,3,2,1975
1100000,3,3,2392
